	(1)	(2)	(3)	(4)
VARIABLES	Model A	Model B	Model C	Model D
				
2.age_cat	-0.015	-0.007	-0.013	-0.015
	(0.022)	(0.018)	(0.016)	(0.016)
3.age_cat	-0.002	0.025	0.009	0.004
	(0.024)	(0.020)	(0.018)	(0.018)
4.age_cat	-0.042	0.082**	0.038	0.025
	(0.048)	(0.039)	(0.039)	(0.039)
2.q3	-0.024	-0.001	-0.006	-0.011
	(0.024)	(0.019)	(0.018)	(0.019)
3.q3	-0.098***	-0.086***	-0.072***	-0.065***
	(0.026)	(0.023)	(0.019)	(0.020)
4.q3	-0.219***	-0.099***	-0.067***	-0.063***
	(0.029)	(0.028)	(0.025)	(0.024)
ivs_score		-0.235***	-0.218***	-0.205***
		(0.053)	(0.045)	(0.044)
iat_score		0.063	0.019	0.033
		(0.067)	(0.062)	(0.063)
iadt_score		0.107**	0.046	0.053
		(0.047)	(0.041)	(0.041)
icdp_score		0.379***	0.275***	0.252***
		(0.051)	(0.048)	(0.048)
iaff_score			0.032	0.035
			(0.032)	(0.032)
oqi_score_01			0.368***	0.343***
			(0.047)	(0.047)
IEDF				0.000
				(0.000)
IEH				0.001***
				(0.000)
Constant	0.792***	0.455***	0.318***	0.282***
	(0.019)	(0.071)	(0.067)	(0.069)
				
Observations	423	423	423	423
R-squared	0.160	0.445	0.545	0.558
City FE	Yes	Yes	Yes	Yes
Robust SE	Yes	Yes	Yes	Yes
Robust standard errors in parentheses				
*** p<0.01, ** p<0.05, * p<0.1				
