	(1)	(2)	(3)	(4)
VARIABLES	Model A	Model B	Model C	Model D
				
2.age_cat	-0.059**	-0.058***	-0.064***	-0.066***
	(0.023)	(0.022)	(0.022)	(0.022)
3.age_cat	-0.052*	-0.035	-0.046*	-0.053**
	(0.027)	(0.025)	(0.025)	(0.025)
4.age_cat	-0.073	0.019	-0.009	-0.024
	(0.058)	(0.051)	(0.053)	(0.054)
2.q3	-0.084***	-0.067**	-0.074**	-0.077***
	(0.032)	(0.029)	(0.030)	(0.030)
3.q3	-0.110***	-0.111***	-0.107***	-0.099***
	(0.035)	(0.034)	(0.032)	(0.034)
4.q3	-0.211***	-0.126***	-0.110***	-0.107***
	(0.034)	(0.035)	(0.035)	(0.035)
ivs_score		-0.244***	-0.226***	-0.215***
		(0.067)	(0.067)	(0.067)
iat_score		0.103	0.066	0.072
		(0.083)	(0.081)	(0.082)
iadt_score		0.085	0.054	0.052
		(0.055)	(0.054)	(0.056)
icdp_score		0.221***	0.164***	0.151**
		(0.060)	(0.059)	(0.060)
iaff_score			0.103**	0.106**
			(0.045)	(0.045)
oqi_score_01			0.163**	0.141*
			(0.075)	(0.077)
IEDF				0.000
				(0.000)
IEH				0.001
				(0.000)
Constant	0.684***	0.481***	0.382***	0.362***
	(0.018)	(0.094)	(0.098)	(0.102)
				
Observations	423	423	423	423
R-squared	0.125	0.242	0.270	0.275
City FE	Yes	Yes	Yes	Yes
Robust SE	Yes	Yes	Yes	Yes
Robust standard errors in parentheses				
*** p<0.01, ** p<0.05, * p<0.1				
