	(1)	(2)	(3)	(4)
VARIABLES	Model A	Model B	Model C	Model D
				
2.age_cat	-1.791	-1.446	-1.485	-2.001
	(3.278)	(3.130)	(3.140)	(3.060)
3.age_cat	-4.621	-5.967*	-6.078*	-7.980**
	(3.599)	(3.461)	(3.506)	(3.477)
4.age_cat	-8.098	-7.715	-8.032	-12.309
	(7.212)	(7.583)	(7.605)	(7.562)
2.q3	1.387	2.340	2.314	1.402
	(4.465)	(4.674)	(4.680)	(4.446)
3.q3	-0.160	4.472	4.590	6.810**
	(2.786)	(2.924)	(2.904)	(2.940)
4.q3	-7.449**	-2.776	-2.534	-1.923
	(3.445)	(3.582)	(3.611)	(3.630)
ivs_score		-10.066	-9.969	-7.655
		(8.253)	(8.227)	(8.167)
iat_score		-26.647***	-26.941***	-26.147***
		(9.778)	(9.806)	(9.673)
iadt_score		-28.586***	-29.037***	-30.519***
		(7.369)	(7.475)	(7.533)
icdp_score		31.966***	31.203***	28.859***
		(6.237)	(6.555)	(6.433)
oqi_score_01			2.818	-2.999
			(6.865)	(6.953)
IEH				0.195***
				(0.049)
Constant	31.241***	53.011***	52.066***	48.844***
	(3.001)	(10.512)	(10.604)	(10.575)
				
Observations	423	423	423	423
R-squared	0.018	0.109	0.109	0.142
City FE	Yes	Yes	Yes	Yes
Robust SE	Yes	Yes	Yes	Yes
Robust standard errors in parentheses				
*** p<0.01, ** p<0.05, * p<0.1				
