	(1)	(2)	(3)	(4)
VARIABLES	Model A	Model B	Model C	Model D
				
2.age_cat	1.239	0.935	-1.318	-1.323
	(2.092)	(2.162)	(1.818)	(1.778)
3.age_cat	3.968*	3.787*	0.794	0.660
	(2.175)	(2.195)	(1.891)	(1.879)
4.age_cat	-1.162	0.376	0.162	-0.258
	(3.922)	(3.845)	(2.815)	(2.762)
2.q3	-2.940	-2.702	-3.345**	-3.073**
	(1.951)	(1.946)	(1.616)	(1.534)
3.q3	-0.494	-0.922	-1.545	-1.700
	(1.795)	(1.738)	(1.458)	(1.472)
4.q3	-3.912	-2.508	-1.266	-2.081
	(2.676)	(3.002)	(2.704)	(2.571)
ivs_score		-14.246**	-4.618	-5.383
		(6.598)	(5.845)	(5.593)
iurd_score_01		-0.261	-2.264	-1.584
		(3.513)	(3.251)	(3.444)
iaff_score			1.296	1.569
			(2.736)	(2.705)
ICPF			0.384***	0.364***
			(0.052)	(0.050)
IEDF				-0.096***
				(0.032)
IEH				-0.016
				(0.026)
Constant	90.386***	99.021***	69.966***	74.757***
	(1.948)	(5.789)	(6.605)	(6.302)
				
Observations	423	423	423	423
R-squared	0.020	0.041	0.245	0.271
City FE	Yes	Yes	Yes	Yes
Robust SE	Yes	Yes	Yes	Yes
Robust standard errors in parentheses				
*** p<0.01, ** p<0.05, * p<0.1				
