	(1)	(2)	(3)	(4)	(5)
VARIABLES	I2: Years x IAFF -> Formal channel	I2: Years x IAFF -> Formal channel	I2: Years x IAFF -> Formal channel	I3: ICDP x OQI -> IETR	I3: ICDP x OQI -> IETR
					
formal_remittance	.	.	.		
	(.)	(.)	(.)		
2.age_cat	0.704	0.704	0.704	0.010	0.010
	(0.204)	(0.204)	(0.204)	(0.015)	(0.015)
3.age_cat	0.744	0.744	0.744	0.018	0.018
	(0.242)	(0.242)	(0.242)	(0.017)	(0.017)
4.age_cat	0.499	0.499	0.499	-0.015	-0.015
	(0.353)	(0.353)	(0.353)	(0.033)	(0.033)
2.q3	0.489**	0.489**	0.489**	0.060***	0.060***
	(0.178)	(0.178)	(0.178)	(0.021)	(0.021)
3.q3	0.799	0.799	0.799	0.050**	0.050**
	(0.263)	(0.263)	(0.263)	(0.022)	(0.022)
4.q3	0.544	0.544	0.544	0.018	0.018
	(0.203)	(0.203)	(0.203)	(0.026)	(0.026)
years_in_col	1.338*	1.338*	1.338*		
	(0.208)	(0.208)	(0.208)		
iaff_score	22.790**	22.790**	22.790**	0.034	0.034
	(32.154)	(32.154)	(32.154)	(0.032)	(0.032)
c.years_in_col#c.iaff_score	0.662*	0.662*	0.662*		
	(0.140)	(0.140)	(0.140)		
iat_score	3.268	3.268	3.268		
	(3.112)	(3.112)	(3.112)		
icdp_score	4.368**	4.368**	4.368**	-0.094	-0.094
	(3.180)	(3.180)	(3.180)	(0.145)	(0.145)
oqi_score_01	0.736	0.736	0.736	0.287**	0.287**
	(0.556)	(0.556)	(0.556)	(0.145)	(0.145)
IEH	1.007	1.007	1.007	0.001***	0.001***
	(0.005)	(0.005)	(0.005)	(0.000)	(0.000)
c.icdp_score#c.oqi_score_01				0.045	0.045
				(0.191)	(0.191)
ivs_score				-0.022	-0.022
				(0.048)	(0.048)
IEDF				-0.001*	-0.001*
				(0.000)	(0.000)
Constant	0.033***	0.033***	0.033***	0.493***	0.493***
	(0.040)	(0.040)	(0.040)	(0.112)	(0.112)
					
Observations	402	402	402	423	423
R-squared				0.238	0.238
City FE	Yes	Yes	Yes	Yes	Yes
Robust SE	Yes	Yes	Yes	Yes	Yes
Estimator	Logit OR	Logit OR	Logit OR		
Robust seeform in parentheses					
*** p<0.01, ** p<0.05, * p<0.1					
