	(1)	(2)	(3)	(4)
VARIABLES	Model A	Model B	Model C	Model D
				
2.age_cat	0.004	0.014	0.008	0.004
	(0.023)	(0.021)	(0.021)	(0.020)
3.age_cat	0.010	0.039*	0.031	0.016
	(0.026)	(0.024)	(0.023)	(0.023)
4.age_cat	0.019	0.112***	0.099**	0.063
	(0.041)	(0.038)	(0.039)	(0.044)
2.q3	-0.006	0.009	0.002	-0.005
	(0.028)	(0.024)	(0.024)	(0.025)
3.q3	-0.047*	-0.042	-0.046*	-0.028
	(0.027)	(0.027)	(0.026)	(0.026)
4.q3	-0.168***	-0.086***	-0.082***	-0.074***
	(0.033)	(0.030)	(0.029)	(0.028)
ivs_score		-0.034	-0.015	0.003
		(0.061)	(0.059)	(0.057)
iat_score		0.105	0.076	0.077
		(0.072)	(0.071)	(0.070)
iadt_score		0.160***	0.152***	0.134***
		(0.049)	(0.046)	(0.046)
icdp_score		0.271***	0.251***	0.222***
		(0.062)	(0.060)	(0.059)
iaff_score			0.156***	0.155***
			(0.038)	(0.036)
IEH				0.001***
				(0.000)
Constant	0.771***	0.335***	0.269***	0.231***
	(0.020)	(0.079)	(0.079)	(0.077)
				
Observations	423	423	423	423
R-squared	0.089	0.271	0.305	0.335
City FE	Yes	Yes	Yes	Yes
Robust SE	Yes	Yes	Yes	Yes
Robust standard errors in parentheses				
*** p<0.01, ** p<0.05, * p<0.1				
