	(1)	(2)	(3)	(4)
VARIABLES	Model A	Model B	Model C	Model D
				
2.age_cat	5.945***	5.716**	5.288**	5.051**
	(2.292)	(2.292)	(2.281)	(2.233)
3.age_cat	7.685***	7.633***	7.175***	6.496***
	(2.489)	(2.451)	(2.458)	(2.425)
4.age_cat	-2.666	0.353	-0.212	-1.468
	(5.570)	(5.254)	(5.215)	(5.468)
2.q3	0.657	1.487	0.968	1.029
	(2.635)	(2.607)	(2.593)	(2.537)
3.q3	1.642	1.452	0.984	1.242
	(2.306)	(2.222)	(2.269)	(2.264)
4.q3	-6.660**	-3.182	-3.029	-3.586
	(3.238)	(3.323)	(3.285)	(3.270)
ivs_score		-24.594***	-23.233***	-22.993***
		(5.921)	(6.056)	(6.011)
iurd_score_01		4.541	2.673	2.667
		(4.002)	(4.165)	(4.238)
iaff_score			9.297**	9.349**
			(3.802)	(3.784)
IEDF				-0.107***
				(0.037)
IEH				0.021
				(0.034)
Constant	62.157***	73.650***	67.989***	70.205***
	(2.047)	(5.317)	(5.923)	(6.138)
				
Observations	423	423	423	423
R-squared	0.044	0.094	0.106	0.126
City FE	Yes	Yes	Yes	Yes
Robust SE	Yes	Yes	Yes	Yes
Robust standard errors in parentheses				
*** p<0.01, ** p<0.05, * p<0.1				
