appendix,file,title,provenance,source,notes
A,A Research Instrument/Appendix_A1_Quantitative_Survey_Questionnaire.html,Appendix a1 quantitative survey questionnaire,Static documentation,Manually maintained research instrument,Not an analytical output
C,C Variable Construction/figures/Figure_C1_Index_Distributions.png,Index distributions,Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
C,C Variable Construction/figures/Figure_C2_Index_Correlation_Heatmap.png,Index correlation heatmap,Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
C,C Variable Construction/tables/Table_C0_Current_Index_Architecture.xlsx,Current index architecture and item-to-index mapping,Static methodological documentation,1 Code/1 Data Preparation_CFI DPI Migrant Women Colombia.do,Manually maintained from the implemented index-construction rules
C,C Variable Construction/tables/Table_C1_Index_Summary_Statistics.csv,Index summary statistics,Stata-generated aggregate table,"1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do, Section 18",Regenerated from the final aggregate analytical dataset
C,C Variable Construction/tables/Table_C2_Index_Correlation_Matrix.csv,Index correlation matrix,Stata-generated aggregate table,"1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do, Section 18",Regenerated from the final aggregate analytical dataset
D,D Descriptive Evidence/figures/fig1_hist_edad.png,Age distribution,Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
D,D Descriptive Evidence/figures/fig2_pie_residence.png,City of residence,Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
D,D Descriptive Evidence/figures/fig3_density_years_in_col.png,Years living in Colombia,Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
D,D Descriptive Evidence/figures/fig3_porcentage_years_in_col.png,Years living in Colombia,Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
D,D Descriptive Evidence/figures/fig4_bar_education.png,Educational attainment,Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
D,D Descriptive Evidence/figures/fig5_bar_occupation.png,Current occupation,Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
D,D Descriptive Evidence/figures/fig6_ivs_distribution_apa.png,Socioeconomic Vulnerability Index (IVS),Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
D,D Descriptive Evidence/figures/fig6_ivs_distribution_porcentage.png,Socioeconomic Vulnerability Index (IVS),Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
D,D Descriptive Evidence/figures/fig7_ivs_by_city.png,Socioeconomic vulnerability by city,Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
D,D Descriptive Evidence/figures/fig8_ivs_by_age.png,Socioeconomic vulnerability by age group,Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
D,D Descriptive Evidence/figures/fig9_iat_phone_internet.png,Mobile-phone and internet access,Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
D,D Descriptive Evidence/figures/fig10_data_stability.png,Mobile-data stability,Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
D,D Descriptive Evidence/figures/fig11_sendmoney.png,Ability to send and receive digital money,Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
D,D Descriptive Evidence/figures/fig12_iat_iadt.png,Telecommunications access and digital self-efficacy,Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
D,D Descriptive Evidence/figures/fig13_qr.png,Use of QR payments,Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
D,D Descriptive Evidence/figures/fig14_icdp_age.png,Practical digital competence by age,Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
D,D Descriptive Evidence/figures/fig15_icdp_edu.png,Practical digital competence by education,Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
D,D Descriptive Evidence/figures/fig16_account_types_pct.png,Types of financial accounts owned,Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
D,D Descriptive Evidence/figures/fig17_iaff_time.png,Formal financial access by migration tenure,Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
D,D Descriptive Evidence/figures/fig18_iaff_edu_plain.png,Formal financial access by education,Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
D,D Descriptive Evidence/figures/fig19_iuof_distrib_porcentage.png,Financial use and operability (IUOF),Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
D,D Descriptive Evidence/figures/fig19_iuof_distrib.png,Financial use and operability (IUOF),Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
D,D Descriptive Evidence/figures/fig20_iuof_iaff.png,Financial operability and formal financial access,Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
D,D Descriptive Evidence/figures/fig21_awareness_usage_rails.png,Awareness and use of payment rails,Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
D,D Descriptive Evidence/figures/fig22_oqi_by_iaff.png,Onboarding quality by formal financial access,Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
D,D Descriptive Evidence/figures/fig23_oqi_by_icdp.png,Onboarding quality by practical digital competence,Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
D,D Descriptive Evidence/figures/fig24_remittance_channels.png,Channels used to receive remittances,Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
D,D Descriptive Evidence/figures/fig25_ietr_distrib_porcentage.png,Transactional experience in remittances and payments (IETR),Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
D,D Descriptive Evidence/figures/fig25_ietr_distrib.png,Transactional experience in remittances and payments (IETR),Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
D,D Descriptive Evidence/figures/fig26_iurd_by_ifo.png,Digital-remittance intensity by formal-channel use,Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
D,D Descriptive Evidence/figures/fig27_safety_vs_exposure.png,Perceived safety and fraud exposure,Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
D,D Descriptive Evidence/figures/fig28_iedf_by_oqi.png,Fraud exposure and recourse harm by onboarding quality,Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
D,D Descriptive Evidence/figures/fig29_iedf_by_icdp.png,Fraud exposure and recourse harm by practical digital competence,Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
D,D Descriptive Evidence/figures/fig30_resolution_satisfaction.png,Resolution satisfaction after payment or remittance problems,Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
D,D Descriptive Evidence/figures/fig31_iaer_distribution.png,Economic autonomy in remittances (IAER),Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
D,D Descriptive Evidence/figures/fig31_iaer_porcentage.png,Economic autonomy in remittances (IAER),Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
D,D Descriptive Evidence/figures/fig32_iaer_by_iurd.png,Economic autonomy by digital-remittance intensity,Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
D,D Descriptive Evidence/figures/fig33_iedf_by_iaer.png,Fraud exposure and recourse harm by economic autonomy,Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
D,D Descriptive Evidence/figures/fig34_icpf_by_iurd.png,Trust and financial climate by digital-remittance intensity,Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
D,D Descriptive Evidence/figures/fig35_5barries.png,Five most frequently reported barriers,Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
D,D Descriptive Evidence/figures/fig36_top5_enablers.png,Five most frequently requested enabling supports,Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
D,D Descriptive Evidence/figures/fig37_training_topics.png,Priority training topics,Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
D,D Descriptive Evidence/figures/fig38_ibpd_ivs.png,Perceived digitalization barriers by socioeconomic vulnerability,Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
D,D Descriptive Evidence/figures/fig39_ibpd_vs_iat.png,Perceived digitalization barriers by telecommunications access,Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
D,D Descriptive Evidence/tables/Table_D1_Extended_Categorical_Distributions.csv,Extended categorical distributions,Stata-generated aggregate table,"1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do, Section 18",Regenerated from the final aggregate analytical dataset
D,D Descriptive Evidence/tables/Table_D2_Multiple_Response_Prevalence.csv,Multiple-response prevalence,Stata-generated aggregate table,"1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do, Section 18",Regenerated from the final aggregate analytical dataset
E,E Multivariate Regressions/figures/fig40_coef_iurd.png,Coefficient plot: digital-remittance and payment intensity (IURD),Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
E,E Multivariate Regressions/figures/fig41_ame_formal_remittance.png,Average marginal effects: formal remittance-channel use,Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
E,E Multivariate Regressions/figures/fig42_coef_iuof.png,Coefficient plot: financial use and operability (IUOF),Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
E,E Multivariate Regressions/figures/fig43_coef_ietr.png,Coefficient plot: transactional experience (IETR),Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
E,E Multivariate Regressions/figures/fig44_coef_oqi.png,Coefficient plot: onboarding quality (OQI),Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
E,E Multivariate Regressions/figures/fig45_coef_ipcs.png,Coefficient plot: prevention and safe conduct (IPCS),Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
E,E Multivariate Regressions/figures/fig46_coef_iedf.png,Coefficient plot: fraud exposure and recourse harm (IEDF),Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
E,E Multivariate Regressions/figures/fig47_coef_iaer.png,Coefficient plot: economic autonomy in remittances (IAER),Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
E,E Multivariate Regressions/figures/fig48_coef_icpf.png,Coefficient plot: trust and financial climate (ICPF),Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
E,E Multivariate Regressions/figures/fig49_interaction_iurd_ivs_iat.png,Interaction: socioeconomic vulnerability and telecommunications access,Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
